title,company,location,posted_date,salary,description,url,source,keyword
Investment Data Analyst,Hawksworth Consulting,Sydney CBD NSW,Posted 8d ago,,Investment Data Analyst,https://au.jora.com/job/Investment-Data-Analyst-c6c2b6d22a65b8560078539844c87e86?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=0fc788ee35f9ec6b65614e39b368deb9&sp=serp&sponsored=false&sq=data+analyst&sr=20&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Business Intelligence Analyst,Red Bull,Sydney NSW,Posted 4d ago,,Business Intelligence Analyst,https://au.jora.com/job/Business-Intelligence-Analyst-7a4e5668094a0cce5d5a669af02dc447?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=eda54840d1a786dc133b833b22528ab8&sp=serp&sponsored=false&sq=data+analyst&sr=21&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Data Analyst,Aussie Founders Club,Sydney NSW,Posted 20d ago,,Data Analyst,https://au.jora.com/job/Data-Analyst-351b6db504211b1e70dd00f32ffd7c18?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=88da6ff02a27ca6ea46c61e505f504e1&sp=serp&sponsored=false&sq=data+analyst&sr=22&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Senior Data Quality Specialist,Talenza,Sydney NSW,Posted 22h ago,,Senior Data Quality Specialist,https://au.jora.com/job/Quality-Specialist-14d068885c05ad70df8d5d7e62dd9df4?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=994488f03ba5dea8622a3c1556b59753&sp=sserp&sponsored=true&sq=data+analyst&sr=23&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Junior Data Analyst- Power Bi,LVT People,Sydney NSW,Posted 9d ago,,Junior Data Analyst- Power Bi,https://au.jora.com/job/Data-Analyst-cd3b368dab0ba58a39a28b2e40a4e432?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=e7e0e518658c72f0c0654073953e9d10&sp=serp&sponsored=false&sq=data+analyst&sr=24&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Data Management Analyst,Randstad Sourceright,Sydney CBD NSW,Posted 8d ago,,Data Management Analyst,https://au.jora.com/job/Data-Management-Analyst-74d6ac4aad6d2c8b01aaae1f291b9c9d?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=4d7636053b349b7f15ff3aa9ccc2667a&sp=serp&sponsored=false&sq=data+analyst&sr=25&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
RGM Analyst,Kenvue,Sydney NSW,Posted 1d ago,,RGM Analyst,https://au.jora.com/job/Analyst-6c273c3eedfea9f58f79249f43b75bb1?abstract_type=original&disallow=true&fsv=true&sl=Sydney&sol_key=b7ca29561c3b476019f836c02b548d88&sp=sserp&sponsored=true&sq=data+analyst&sr=26&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Tech Data BA,FourQuarters Recruitment,Sydney NSW,Posted 1d ago,,Tech Data BA,https://au.jora.com/job/Tech-Data-BA-0d9b73ab1ed26818fd5199b9f4182f70?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=15a66223c56d2ddaa84dd3dd4353ef82&sp=sserp&sponsored=true&sq=data+analyst&sr=27&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Data Analyst,Hays Recruitment,Sydney NSW,Posted 8d ago,,Data Analyst,https://au.jora.com/job/Data-Analyst-25c5075d0139035aeb8cde7b2d7d378d?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=b684dce98f7182b475e777bf0f4803ea&sp=sserp&sponsored=true&sq=data+analyst&sr=28&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Data Scientist,Mane Consulting,Sydney NSW,Posted 3mo ago,,Data Scientist,https://au.jora.com/job/Data-Scientist-e77456218339dbeb1e87440e196b153c?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=d8f20afc0c1b2ef5bff43f0f7939c65d&sp=sserp&sponsored=true&sq=data+analyst&sr=30&tk=v_QPmBF8PWLX7kmI9ZEL-vPGaeq8mOsvrML33dLgd&trigger_source=serp,Jora (Playwright),data analyst
Data Reporting Analyst,PRA,Sydney NSW,Posted 21d ago,,Data Reporting Analyst,https://au.jora.com/job/Data-Reporting-Analyst-94cde86929db548936f9718c9be0abd6?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=c0e4cdac25618809a2999075ab1fe48c&sp=sserp&sponsored=true&sq=data+analyst&sr=31&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Impact Data Analyst,University of New South Wales,Sydney NSW,Posted 12d ago,,Impact Data Analyst,https://au.jora.com/job/Data-Analyst-84a3d9a2a85c6ba4532aea982dd393a1?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=17ca5220a7c323e8c68635685c8dcae1&sp=serp&sponsored=false&sq=data+analyst&sr=32&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Commercial Data Analyst (Retail),Ampol Limited,Alexandria NSW,Posted 19h ago,,Commercial Data Analyst (Retail),https://au.jora.com/job/Data-Analyst-bd37362f3d9079a9c584617c95c9e63f?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=db6e40fdf2df64e9c7efb7fa71fcfeb5&sp=serp&sponsored=false&sq=data+analyst&sr=33&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Analyst – Economics & Data Analytics,WSP,Sydney CBD NSW,Posted 8d ago,,Analyst – Economics & Data Analytics,https://au.jora.com/job/Analyst-09e27d7268503353908dc7337b2d76c2?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=0e8e8d6183656819baa8687b5f355911&sp=serp&sponsored=false&sq=data+analyst&sr=34&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Rankings Analyst,UTS,Broadway NSW,Posted 6h ago,,Rankings Analyst,https://au.jora.com/job/Analyst-a9c4140b9495b96e48ea4586db166f95?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=c4420288e33aa75baefb696cef38501f&sp=serp&sponsored=false&sq=data+analyst&sr=35&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Schedule and Data Analyst [ Sydney],dnata catering,Sydney NSW,Posted 3mo ago,,Schedule and Data Analyst [ Sydney],https://au.jora.com/job/Data-Analyst-9c99b802f62a53127f16bdd0090bb993?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=858307d9a02cea322cf07ba4819b59c2&sp=serp&sponsored=false&sq=data+analyst&sr=36&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Senior Data Analyst (AI Compliance),Binance,Sydney NSW,Posted 16d ago,,Senior Data Analyst (AI Compliance),https://au.jora.com/job/Data-Analyst-16653fafb08c8b70b19b8a7017c99802?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=c90c906785d6715a8363adf99395c3a7&sp=serp&sponsored=false&sq=data+analyst&sr=37&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Business Intelligence Developer,Robert Half,Sydney CBD NSW,Posted 6d ago,,Business Intelligence Developer,https://au.jora.com/job/Business-Intelligence-Developer-6c5d975a82c200e579e93ffb01f81a12?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=772b9b2377eb322939f6bf534f6c3abf&sp=sserp&sponsored=true&sq=data+analyst&sr=38&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
"Data Analyst - SQL, Python, Microsoft Fabric (Data Engineering Focus)",Blake Oliver,Sydney NSW,Posted 18d ago,,"Data Analyst - SQL, Python, Microsoft Fabric (Data Engineering Focus)",https://au.jora.com/job/Data-Analyst-3d8b8c1612c71ff968701e37b923e1a4?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=f1175d574052686d69a886c6ab729f42&sp=sserp&sponsored=true&sq=data+analyst&sr=39&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Data Analyst - SQL & Power BI,The HR Ally,Sydney NSW,Posted 14d ago,,Data Analyst - SQL & Power BI,https://au.jora.com/job/Data-Analyst-762e1dfd4b1ffe88e0afee214527b33e?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=805d4bb2b3fe44d7199c311cf938907a&sp=serp&sponsored=false&sq=data+analyst&sr=40&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Commercial / Estimation Analyst,Ventia,North Sydney NSW,Posted 17h ago,,Commercial / Estimation Analyst,https://au.jora.com/job/Analyst-afdfa872f55b1a2da65c41a9ead2fad6?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=606ab58f06262c8fa47ba8eaedb5a604&sp=serp&sponsored=false&sq=data+analyst&sr=41&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
"Business Process Analyst: Core and Data, TRELLiS",RACP,Sydney CBD NSW,Posted 20h ago,,"Business Process Analyst: Core and Data, TRELLiS",https://au.jora.com/job/Business-Process-Analyst-ec901f91df4accbdcd3f90a024c494dc?abstract_type=original&disallow=true&fsv=true&sl=Sydney&sol_key=7fc43dedcd8e7bda696eb5d1b1530625&sp=serp&sponsored=false&sq=data+analyst&sr=42&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
"Senior Statistician, Analytics and Insights",NSW Health,St Leonards NSW,Posted 3h ago,,"Senior Statistician, Analytics and Insights",https://au.jora.com/job/Statistician-bdf7d6ecb8b45fbcc0f5a5230a7e1d86?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=583b37a9efd922243964f62f1d9e6df5&sp=serp&sponsored=false&sq=data+analyst&sr=43&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
"Data Analyst - SQL, Python, Microsoft Fabric",Tarkine Consulting Group,Sydney NSW,Posted 9d ago,,"Data Analyst - SQL, Python, Microsoft Fabric",https://au.jora.com/job/Data-Analyst-b196ec4c3d8e50b667515dc1deb2048b?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=6a648627352fbfbdea8ab7c936b55343&sp=serp&sponsored=false&sq=data+analyst&sr=44&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
"Data Analyst, Business Analytics",Herbert Smith Freehills,Sydney CBD NSW,Posted 19d ago,,"Data Analyst, Business Analytics",https://au.jora.com/job/Data-Analyst-895683069f117471127fb7fb5c653adb?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=b528b2ef02b98a6562af69fd9c011ad2&sp=serp&sponsored=false&sq=data+analyst&sr=45&tk=bFeUeOEsI5DTNhSn_yKJ-Q_tEn11Gv2cuT66TxZZZ&trigger_source=serp,Jora (Playwright),data analyst
Business Analyst,Fujitsu,Sydney NSW,Posted 4d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-e5d8a925af424b23b6f417e73d3be1ea?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=70fbcd66b92cf468a7e5c92b51a89641&sp=serp&sponsored=false&sq=business+analyst&sr=1&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
2027 RBA Payments Settlements Graduate Program - Business Analyst Specialisation,Reserve Bank of Australia,Sydney NSW,Posted 17h ago,,2027 RBA Payments Settlements Graduate Program - Business Analyst Specialisation,https://au.jora.com/job/Business-Analyst-57e6b3771807ddcdb2b51530fa68dd85?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=5cf4e18c7868c03b493c90f0fb221ed1&sp=serp&sponsored=false&sq=business+analyst&sr=2&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
ServiceNow Business Analyst,Robert Walters,Sydney CBD NSW,Posted 23h ago,,ServiceNow Business Analyst,https://au.jora.com/job/ServiceNow-Business-Analyst-2c6dadb6b53ed5d8a07add1f7762cfae?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=117fe7c02ba6baba98d7688ed6c446a1&sp=serp&sponsored=false&sq=business+analyst&sr=3&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Digital Business Analyst,Fantastic furniture,Sydney NSW,Posted 1d ago,,Digital Business Analyst,https://au.jora.com/job/Digital-Business-Analyst-2af2bc0b39e5bf937b542a110be14322?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=d9de64b05284fec4bb478c95654823fd&sp=serp&sponsored=false&sq=business+analyst&sr=4&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Senior Business Analyst,IBC Recruitment,Sydney CBD NSW,Posted 5h ago,,Senior Business Analyst,https://au.jora.com/job/Business-Analyst-004ff42b2d9d83ae041165ec1365d5b4?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=eebde1d339026bc383df7bd387b96058&sp=serp&sponsored=false&sq=business+analyst&sr=5&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Business Analyst,Plenti,Sydney CBD NSW,Posted 6d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-cc06d91cf1c1d22a94ea919e592f972d?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=96ebfdcfd1f3e5648be2676b161ec420&sp=serp&sponsored=false&sq=business+analyst&sr=6&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Business Analyst,Globus family of brands,Sydney CBD NSW,Posted 4h ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-4f9376b177d57dbed9a56314751db5e9?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=29197940cbe72f93bb2668587ada3212&sp=serp&sponsored=false&sq=business+analyst&sr=7&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Graduate Business Analyst - Claims (Feb 2026),TAL,Sydney NSW,Posted 22d ago,,Graduate Business Analyst - Claims (Feb 2026),https://au.jora.com/job/Business-Analyst-393b8e13967ee93e59af20f8d2ca6b08?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=a75339afe426dabbb9c01a170f8a49c3&sp=serp&sponsored=false&sq=business+analyst&sr=8&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Business Analyst,eTeam,Sydney NSW,Posted 6d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-2608b0f476de549f9a496a58a864895f?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=bd1a7046f8fae219be61f4d223875d08&sp=serp&sponsored=false&sq=business+analyst&sr=9&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Senior Business Analyst,Evolution Recruitment Solutions,Sydney CBD NSW,Posted 1d ago,,Senior Business Analyst,https://au.jora.com/job/Business-Analyst-6aa9ee6029910d797e9992bba1d7fd39?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=5e25281660cb273d2efb116a5a856b54&sp=serp&sponsored=false&sq=business+analyst&sr=10&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Business Analyst,Accenture,Sydney NSW,Posted 7d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-373455b9e2bbd94f70c69047e5e0bdee?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=fe525b03d9c8835b8930c90d4be9729c&sp=sserp&sponsored=true&sq=business+analyst&sr=11&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
CX Business Analyst – Speech & Text Analytics,NTT,Sydney CBD NSW,Posted 1d ago,,CX Business Analyst – Speech & Text Analytics,https://au.jora.com/job/Business-Analyst-aca94dd78bd18d9e4faee122650cd817?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=f1a4854eccf97260f35268504313ea09&sp=serp&sponsored=false&sq=business+analyst&sr=12&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
Business Analyst FP&A,Hays Recruitment,Sydney CBD NSW,Posted 17h ago,,Business Analyst FP&A,https://au.jora.com/job/Business-Analyst-FP-e5544e7a4c7b9961967ebd06433ebb15?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=a7a789219177d2d3498c6c64e1f13dc6&sp=serp&sponsored=false&sq=business+analyst&sr=13&tk=MGXPFyb2ak6LPN9R0SV9-1AzrRp5eQ0j5oxiZLCG_&trigger_source=serp,Jora (Playwright),business analyst
